articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
6-1-2015,1,1,df,0,MATCH,NA
6-1-2015,9,9,df,0,MATCH,NA
6-1-2015,6.818,6.818,F,0,MATCH,NA
6-1-2015,9,9,df,0,MATCH,NA
6-1-2015,7.23,7.23,t,0,MATCH,NA
6-1-2015,9,9,df,0,MATCH,NA
6-1-2015,9.19,9.19,t,0,MATCH,NA
6-1-2015,9,9,df,0,MATCH,NA
6-1-2015,4.29,4.29,t,0,MATCH,NA
6-1-2015,9,9,df,0,MATCH,NA
6-1-2015,4.79,4.79,t,0,MATCH,NA
6-1-2015,9,9,df,0,MATCH,NA
6-1-2015,1.02,1.02,t,0,MATCH,NA
6-1-2015,9,9,df,0,MATCH,NA
6-1-2015,1.78,1.78,t,0,MATCH,NA
6-1-2015,9,9,df,0,MATCH,NA
6-1-2015,4.21,4.21,t,0,MATCH,NA
6-1-2015,9,9,df,0,MATCH,NA
6-1-2015,3.39,3.39,t,0,MATCH,NA
